17;Ambalavao;12
18;Ambanja;7
19;Ambatomilo;1
20;Ambilobe;5
21;Ambola;14
22;Ambositra;12
23;Ampefy;4
24;Anakao;14
25;Andapa;6
26;Andasibe;10
27;Andavadoaka;1
28;Anjahankely;5
29;Anjajavy;2
30;Anjozorobe;4
31;Ankarafa;7
32;Ankarafantsika;7
33;Ankarana;5
34;Ankify;5
35;Antalaha;6
36;Antanambe;11
37;Antoetra;12
38;Antsirabe;12
39;Antsohihy;7
40;Bekopaka;1
41;Belo sur Mer;1
42;Belo sur Tsiribihina;1
43;Berenty;14
44;Daraina;6
45;Diego Suarez;5
46;Fenerive-Est;11
47;Fianarantsoa;12
48;Fort Dauphin;14
49;Ifaty;16
50;Ifotaka;14
51;Ile aux Nattes;3
52;Itampolo;14
53;Ivato;15
54;Kirindy;1
55;Lac Mantasoa;4
56;Lavanono;14
57;Lokaro;13
58;Maevatanana;7
59;Mahajunga;7
60;Mahambo;10
61;Makay;12
62;Manafiafy;13
63;Manakara;13
64;Manambato;10
65;Mananara Nord;11
66;Mananjary;13
67;Manja;1
68;Manompanana;11
69;Maroansetra;11
70;Masoala;11
71;Miandrivazo;1
72;Montagne d'Ambre;5
73;Morombe;1
74;Morondava;1
75;Near Andasibe;10
76;Near Antsirabe;12
77;Near Fianarantsoa;12
78;Near Morondava;1
79;Near Ranomafana;12
80;Nosy Andatsara;5
81;Nosy Ankao;5
82;Nosy Be;8
83;Nosy Berafia;2
84;Nosy Iranja;2
85;Nosy Komba;9
86;Nosy Saba;2
87;Nosy Sakatia;9
88;Nosy Tsarabanjina;2
89;Pangalanes;10
90;Pangalanes;13
91;Ramena;5
92;Ranohira;12
93;Ranomafana;12
94;Rantabe;11
95;Sahambavy;12
96;Sainte Marie;3
97;Salary;1
98;Sambava;6
99;Sandravinany;13
100;Tamatave;10
101;Tana;15
102;Tsaranoro;12
103;Tsiandamba;1
104;Tuléar;16
105;Vatomandry;13
106;Vohemar;6